firm_id,name,owner_name,owner_age_estimate,address,city,state,zip_code,metro,phone,email,website,subindustry,naics_code,revenue_estimate,employee_count,years_established,yelp_rating,yelp_review_count,google_rating,google_review_count,succession_risk_score,wealth_index,formation_rate,estimated_ebitda,estimated_multiple,deal_score
firm_0044,Strategic LLC,Steven Martinez,75,9667 Business Ave,Lexington,MA,02420,Boston,(500) 608-7602,info@strategicllc.com,www.strategicllc.com,Payroll Services,541214,4031590,11,24,4.3,75,4.3,122,73,96,12.1,822859,4.2488225923367136,97.87
firm_0538,Elite Business Services,Stephen Johnson,66,2683 Oak Way,Tampa,FL,33614,Tampa,(799) 561-3517,info@elitebusinesssecpa.com,www.elitebusinesssecpa.com,Bookkeeping Services,541219,3623247,22,27,4.5,34,4.8,36,70,82,13.7,580334,3.4960843742112546,96.88999999999999
firm_0309,Heritage Professional Corporation,Frank Anderson,70,2719 Park St,Coral Gables,FL,33145,Miami,(831) 970-4128,info@heritageprofesstax.com,www.heritageprofesstax.com,Forensic Accounting,541211,2447852,24,11,4.4,138,4.1,182,62,86,13.1,458176,4.650932347388128,94.07
firm_0478,Frank Brown Tax Services,Larry Thomas,70,1622 Second Ave,Tampa,FL,33606,Tampa,(231) 315-1564,info@frankbrowntaxsecpa.com,www.frankbrowntaxsecpa.com,CPA Firms,541211,5859086,21,23,4.1,138,3.8,124,70,83,13.5,1652945,3.39051011027445,93.9
firm_0469,Nancy Perez & Associates,Mark Rodriguez,74,5787 Commerce Way,Tampa,FL,33602,Tampa,(640) 300-1819,info@nancyperezandascpa.com,www.nancyperezandascpa.com,Payroll Services,541214,6402939,39,29,4.8,148,5.0,238,73,79,14.8,1925212,3.9321310386311024,93.85
firm_0607,Elite Partners,Amy Taylor,73,7531 Second Dr,Wellington,FL,33414,West Palm Beach,(315) 932-1731,info@elitepartnerstax.com,www.elitepartnerstax.com,Payroll Services,541214,3781601,19,12,4.9,69,5.0,91,61,90,11.4,896565,3.6648909499219737,93.47999999999999
firm_0004,Coastal Financial Services,Helen Johnson,74,8226 Elm Ave,Cambridge,MA,02139,Boston,(292) 338-1992,info@coastalfinanciacpa.com,www.coastalfinanciacpa.com,Bookkeeping Services,541219,4350861,25,24,3.5,103,3.5,122,73,89,14.2,1233885,3.224505982816713,93.28999999999999
firm_0174,Premier Business Services,Sharon Wilson,72,1292 Business St,Worcester,MA,01602,Worcester,(925) 324-4571,info@premierbusiness.com,www.premierbusiness.com,Bookkeeping Services,541219,1983983,8,32,4.4,74,4.4,57,74,71,10.4,490875,3.4652516416311294,92.93
firm_0597,Professional Company,Ronald Perez,69,6137 Second St,West Palm Beach,FL,33401,West Palm Beach,(780) 984-9841,info@professionalcomtax.com,www.professionalcomtax.com,CPA Firms,541211,1021797,12,16,4.7,23,4.6,33,60,80,12.7,190971,3.33150446936283,92.89
firm_0012,Family Associates,Amy Williams,75,2917 Park Ave,Boston,MA,02116,Boston,(875) 407-8387,info@familyassociatetax.com,www.familyassociatetax.com,Tax Preparation,541213,8458224,29,14,4.5,41,4.6,29,52,92,16.8,2711928,2.4793031491676114,92.8
